City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hofn,100,IS,1556231613,98,64.25,-15.21,36.96,4.97
1,rikitea,93,PF,1556231613,80,-23.12,-134.97,78.33,10.63
2,surt,20,LY,1556231614,50,31.21,16.59,72.4,10.96
3,atuona,4,PF,1556231615,73,-9.8,-139.03,83.51,15.61
4,eenhana,29,NA,1556229600,33,-17.48,16.34,77.0,2.24
5,hermanus,46,ZA,1556231497,91,-34.42,19.24,63.0,4.94
6,bredasdorp,58,ZA,1556231497,93,-34.53,20.04,63.0,1.12
7,punta arenas,0,CL,1556230989,87,-53.16,-70.91,44.6,8.05
8,victoria,90,BN,1556229600,94,5.28,115.24,78.8,3.36
9,jamestown,24,AU,1556231522,63,-33.21,138.6,61.87,10.74
10,norman wells,40,CA,1556229600,77,65.28,-126.83,32.0,14.99
11,dawson creek,20,CA,1556229600,15,55.76,-120.23,48.2,16.11
12,kodiak,1,US,1556231601,13,39.95,-94.76,68.0,18.34
13,kieta,60,PG,1556231622,69,-6.22,155.63,86.25,7.74
14,bluff,75,AU,1556231623,75,-23.58,149.07,76.0,13.24
15,katsuura,75,JP,1556231439,88,33.93,134.5,64.99,5.82
16,pedernales,94,EC,1556231624,81,0.07,-80.05,80.79,8.5
17,port alfred,0,ZA,1556231539,89,-33.59,26.89,62.01,1.99
18,aklavik,5,CA,1556229600,38,68.22,-135.01,26.6,3.04
19,arlit,65,NE,1556231625,17,18.74,7.39,93.1,12.46
20,waddan,11,LY,1556231626,9,29.16,16.14,89.5,11.86
21,nanortalik,47,GL,1556231344,77,60.14,-45.24,32.27,1.92
22,bonavista,100,CA,1556231426,87,48.65,-53.11,32.0,29.04
23,burnie,68,AU,1556231584,84,-41.05,145.91,50.0,4.0
24,kavaratti,35,IN,1556231627,75,10.57,72.64,84.37,9.35
25,salto del guaira,87,PY,1556231627,85,-24.06,-54.31,74.4,1.83
26,huarmey,68,PE,1556231630,90,-10.07,-78.15,69.69,18.39
27,manta,13,RO,1556231631,88,45.1,24.1,51.92,4.05
28,kologriv,19,RU,1556231631,90,58.83,44.31,33.85,4.16
29,san quintin,0,PH,1556231632,62,17.54,120.52,87.02,3.24
30,tuktoyaktuk,20,CA,1556229600,92,69.44,-133.03,15.8,6.93
31,port elizabeth,1,US,1556231626,55,39.31,-74.98,69.8,8.05
32,avarua,100,CK,1556229600,74,-21.21,-159.78,78.8,19.46
33,mogadishu,27,SO,1556231358,71,2.04,45.34,83.75,14.03
34,smirnykh,0,RU,1556231633,67,49.74,142.83,36.51,3.85
35,castro,75,CL,1556229600,81,-42.48,-73.76,53.6,8.05
36,rio gallegos,0,AR,1556229600,71,-51.62,-69.22,50.0,4.7
37,fukuma,75,JP,1556231634,87,33.77,130.47,62.01,4.7
38,lebu,20,ET,1556229600,54,8.96,38.73,59.0,3.36
39,hasaki,75,JP,1556231041,93,35.73,140.83,52.0,17.22
40,chapais,90,CA,1556229600,75,49.78,-74.86,41.0,14.99
41,maxixe,0,MZ,1556231639,98,-23.86,35.35,70.84,1.07
42,cape town,0,ZA,1556231164,93,-33.93,18.42,61.0,6.93
43,bereda,40,ES,1556231638,87,43.27,-7.54,54.0,10.29
44,mataura,26,NZ,1556231408,66,-46.19,168.86,55.99,1.01
45,muros,75,ES,1556231602,100,42.77,-9.06,55.99,8.05
46,ahipara,89,NZ,1556231564,100,-35.17,173.16,68.0,11.27
47,port hedland,0,AU,1556229600,52,-20.31,118.58,68.0,5.82
48,ushuaia,0,AR,1556229600,91,-54.81,-68.31,53.6,19.46
49,cabo san lucas,5,MX,1556231521,21,22.89,-109.91,90.0,2.24
50,lavrentiya,0,RU,1556231645,88,65.58,-170.99,21.55,5.93
51,yellowknife,75,CA,1556231568,67,62.45,-114.38,23.0,13.87
52,ocos,75,GT,1556229600,62,14.51,-92.19,89.6,10.45
53,kletskaya,5,RU,1556231592,83,49.31,43.06,45.0,6.33
54,dikson,92,RU,1556231646,98,73.51,80.55,-0.9,7.29
55,saint-gaudens,75,FR,1556231561,57,43.11,0.72,52.0,13.87
56,lund,6,SE,1556231526,93,55.7,13.19,53.01,4.7
57,beyneu,1,KZ,1556231647,68,45.32,55.19,52.53,7.38
58,santiago del estero,46,AR,1556231648,86,-27.8,-64.26,64.23,2.73
59,elko,20,US,1556231521,27,40.83,-115.76,75.2,11.41
60,hilo,90,US,1556231604,83,19.71,-155.08,77.0,3.36
61,comodoro rivadavia,0,AR,1556229600,87,-45.87,-67.48,55.4,14.12
62,east london,0,ZA,1556231650,89,-33.02,27.91,58.42,3.85
63,port-cartier,90,CA,1556231614,86,50.03,-66.88,33.01,8.05
64,izhma,28,RU,1556231650,81,65.01,53.91,23.91,4.79
65,ilulissat,75,GL,1556229000,72,69.22,-51.1,12.2,2.24
66,hobyo,91,SO,1556231651,75,5.35,48.53,82.68,15.03
67,knittelfeld,64,AT,1556231527,55,47.21,14.83,61.0,6.55
68,cherskiy,2,RU,1556231652,91,68.75,161.3,32.07,7.54
69,fort myers beach,1,US,1556231446,57,26.45,-81.95,84.0,10.29
70,albany,75,US,1556231551,34,42.65,-73.75,66.99,3.91
71,pozzallo,40,IT,1556231641,87,44.81,9.34,60.01,3.36
72,busselton,0,AU,1556231461,54,-33.64,115.35,57.0,19.06
73,chuy,75,UY,1556231561,75,-33.69,-53.46,67.11,21.65
74,olinda,75,EC,1556231534,70,-2.03,-79.75,84.99,4.7
75,mayo,75,CA,1556229600,47,63.59,-135.9,37.4,5.82
76,saint simons,1,US,1556231455,57,31.14,-81.39,84.2,12.75
77,hengyang,98,CN,1556231663,72,26.89,112.6,79.46,3.4
78,barrow,100,AR,1556231665,69,-38.31,-60.23,54.98,10.4
79,pangnirtung,75,CA,1556229600,53,66.15,-65.72,23.0,19.46
80,saskylakh,34,RU,1556231666,92,71.97,114.09,-6.42,5.1
81,rosetown,66,CA,1556231488,17,51.55,-107.99,53.01,3.0
82,novobirilyussy,87,RU,1556231667,84,56.95,90.69,43.26,9.44
83,georgetown,75,GY,1556229600,88,6.8,-58.16,80.6,6.93
84,isangel,40,VU,1556229600,74,-19.55,169.27,82.4,12.53
85,gizo,0,IL,1556231650,72,31.8,34.94,68.0,4.7
86,malanje,100,AO,1556231669,97,-9.54,16.35,67.96,1.28
87,xichang,80,CN,1556231669,70,27.88,102.25,53.92,2.24
88,nador,19,MA,1556229600,72,35.17,-2.93,62.6,12.75
89,pavlodar,0,KZ,1556229600,93,52.28,76.96,41.0,11.18
90,tabuk,66,PH,1556231670,83,17.41,121.44,73.83,1.57
91,tasiilaq,100,GL,1556231671,86,65.61,-37.64,36.93,5.32
92,wattegama,100,LK,1556231671,88,7.35,80.68,73.81,1.88
93,aizawl,0,IN,1556231671,65,23.74,92.72,73.9,2.46
94,morales,100,CO,1556231672,72,8.28,-73.87,82.9,2.55
95,tiksi,24,RU,1556231672,86,71.64,128.87,9.69,7.36
96,salalah,0,OM,1556229000,65,17.01,54.1,80.6,2.24
97,vaini,47,IN,1556231673,92,15.34,74.49,75.75,2.66
98,pangkalanbuun,87,ID,1556231673,84,-2.68,111.62,79.05,2.64
99,matara,100,PE,1556231674,87,-13.74,-72.9,41.46,4.29
100,pisco,0,PE,1556230585,30,-13.71,-76.2,73.0,20.8
101,butaritari,71,KI,1556231674,81,3.07,172.79,83.4,16.06
102,hithadhoo,85,MV,1556231675,79,-0.6,73.08,84.7,13.35
103,gigmoto,39,PH,1556231675,69,13.78,124.39,81.94,6.62
104,ribeira grande,4,PT,1556231676,68,38.52,-28.7,60.0,7.74
105,kapaa,1,US,1556231014,61,22.08,-159.32,80.6,9.17
106,acapulco,5,MX,1556228580,69,16.86,-99.88,82.4,10.29
107,lata,0,IN,1556231677,64,30.78,78.62,26.14,11.59
108,saint-philippe,1,CA,1556231630,57,45.36,-73.48,55.99,9.17
109,mount isa,96,AU,1556229600,64,-20.73,139.49,69.8,8.05
110,yershichi,37,RU,1556231678,60,53.67,32.75,52.46,4.07
111,igarka,100,RU,1556231681,86,67.47,86.57,-1.0,14.2
112,buckeye,1,US,1556231680,10,33.37,-112.58,100.99,8.05
113,nikolskoye,0,RU,1556231520,52,59.7,30.79,46.99,4.47
114,los llanos de aridane,39,ES,1556231455,63,28.66,-17.92,66.2,6.93
115,gunupur,47,IN,1556231682,82,19.07,83.81,78.49,1.95
116,zhigansk,0,RU,1556231683,81,66.77,123.37,16.48,6.64
117,tuatapere,34,NZ,1556231408,66,-46.13,167.69,55.99,1.01
118,shanghai,75,CN,1556231605,82,31.23,121.49,64.0,6.71
119,saint george,40,GR,1556231016,100,39.45,22.34,60.01,1.25
120,marystown,100,CA,1556230980,100,47.17,-55.16,41.0,1.01
121,barinas,100,VE,1556231684,71,8.64,-70.23,77.89,2.8
122,ayr,40,GB,1556231588,93,55.46,-4.63,48.2,4.7
123,high level,75,CA,1556229600,51,58.52,-117.13,39.2,9.17
124,flinders,0,AU,1556231647,42,-34.58,150.85,72.0,23.04
125,mar del plata,42,AR,1556231685,61,-46.43,-67.52,58.56,8.77
126,macae,40,BR,1556229600,78,-22.37,-41.79,78.8,4.7
127,sitka,0,US,1556231409,33,37.17,-99.65,72.0,13.0
128,bethel,1,US,1556229360,48,60.79,-161.76,41.0,14.99
129,goroka,73,PG,1556231687,61,-6.07,145.39,73.68,1.39
130,sterling,90,US,1556231655,40,39.0,-77.4,75.0,4.7
131,ust-kuyga,98,RU,1556231688,85,70.0,135.55,20.02,10.09
132,chokurdakh,27,RU,1556231688,90,70.62,147.9,24.51,9.1
133,nemuro,100,JP,1556231688,79,43.32,145.57,33.76,18.97
134,torbay,90,CA,1556231559,92,47.66,-52.73,33.01,19.46
135,kondinskoye,61,RU,1556231692,85,59.65,67.41,22.2,10.09
136,oktyabrskiy,95,RU,1556231434,41,55.61,37.97,63.0,2.26
137,avera,1,US,1556231637,44,33.19,-82.53,84.2,9.17
138,megalopoli,75,GR,1556231138,76,37.4,22.14,66.99,3.89
139,zuenoula,100,CI,1556231696,86,7.43,-6.04,77.03,4.56
140,ponta do sol,7,BR,1556231696,94,-20.63,-46.0,66.77,3.89
141,tame,96,CO,1556231697,99,6.46,-71.72,56.49,2.35
142,leshukonskoye,100,RU,1556231697,86,64.9,45.76,27.4,3.49
143,ridgecrest,20,US,1556231658,12,35.62,-117.67,93.2,5.82
144,puerto ayora,20,EC,1556231450,74,-0.74,-90.35,84.2,13.87
145,aykhal,0,RU,1556227800,50,65.95,111.51,8.6,4.47
146,cidreira,100,BR,1556231699,87,-30.17,-50.22,72.26,13.67
147,tayoltita,99,MX,1556231699,26,24.11,-105.93,77.37,5.75
148,labuhan,59,ID,1556231699,87,-2.54,115.51,79.01,0.45
149,laibin,45,CN,1556231700,82,23.74,109.23,76.8,5.7
150,abonnema,40,NG,1556226000,94,4.71,6.79,78.8,4.63
151,marsh harbour,97,BS,1556231700,72,26.54,-77.06,76.38,9.91
152,bambous virieux,75,MU,1556231640,73,-20.34,57.76,77.0,13.87
153,hamilton,75,BM,1556230591,73,32.3,-64.78,71.6,12.75
154,kruisfontein,3,ZA,1556231701,94,-34.0,24.73,57.59,5.5
155,saint-joseph,90,FR,1556231505,87,43.56,6.97,59.0,2.24
156,geraldton,40,CA,1556229600,61,49.72,-86.95,55.4,8.05
157,okhotsk,0,RU,1556231702,43,59.36,143.24,40.04,13.38
158,havre-saint-pierre,90,CA,1556230320,86,50.23,-63.6,30.2,5.82
159,mahebourg,75,MU,1556231640,73,-20.41,57.7,77.0,13.87
160,qaanaaq,99,GL,1556231703,98,77.48,-69.36,5.61,3.24
161,sidi ali,0,DZ,1556231703,78,36.1,0.42,63.37,16.24
162,sao felix do xingu,89,BR,1556231704,97,-6.64,-51.99,72.94,2.98
163,itaituba,20,BR,1556226000,74,-4.26,-55.99,86.0,4.7
164,arman,14,RU,1556231704,65,59.7,150.17,30.68,10.07
165,padang,40,ID,1556229600,100,-0.92,100.36,77.0,3.36
166,longyearbyen,90,NO,1556229000,92,78.22,15.63,30.2,3.36
167,faya,9,SA,1556229600,67,18.39,42.45,62.6,5.82
168,peruibe,31,BR,1556231706,99,-24.32,-47.0,72.22,1.16
169,dakar,0,SN,1556229600,88,14.69,-17.45,73.4,6.93
170,maragogi,100,BR,1556231707,92,-9.01,-35.22,75.82,3.36
171,husavik,73,CA,1556231684,66,50.56,-96.99,45.0,14.0
172,north las vegas,1,US,1556231129,10,36.2,-115.11,93.2,12.75
173,narsaq,20,GL,1556229000,47,60.91,-46.05,33.8,9.17
174,maniitsoq,0,GL,1556231534,73,65.42,-52.9,16.41,8.75
175,jalna,14,IN,1556231708,20,19.84,75.88,88.41,19.62
176,saint augustine,20,TT,1556231707,78,10.65,-61.4,84.0,14.99
177,pevek,41,RU,1556231709,81,69.7,170.27,23.61,10.22
178,kavieng,98,PG,1556231713,73,-2.57,150.8,84.01,6.96
179,lafiagi,99,NG,1556231714,59,8.85,5.42,87.78,9.78
180,fortuna,20,ES,1556231690,51,38.18,-1.13,64.4,3.36
181,touros,75,BR,1556229600,100,-5.2,-35.46,75.2,2.24
182,los andes,0,CL,1556231425,63,-32.83,-70.6,66.99,10.29
183,upernavik,80,GL,1556231715,88,72.79,-56.15,6.96,7.0
184,batticaloa,100,LK,1556231690,93,7.71,81.69,75.23,3.89
185,luanda,20,AO,1556229600,83,-8.83,13.24,78.8,8.05
186,moron,98,VE,1556231716,88,10.49,-68.2,77.46,3.56
187,arraial do cabo,20,BR,1556229600,83,-22.97,-42.02,78.8,12.44
188,poum,0,MK,1556231717,64,41.28,20.71,50.5,3.49
